<STATUS> at <TIME> (@100 ns),,push,pop,peek,clear,din,,full(exp:act),empty(exp:act),dout(exp:act)
SUCCESS at 42200 ns,,1,0,0,0,11010001,,0:0,0:0,--------:11010001
SUCCESS at 42300 ns,,0,0,1,0,--------,,0:0,0:0,11010001:11010001
SUCCESS at 42400 ns,,1,0,0,0,11010010,,0:0,0:0,--------:11010010
SUCCESS at 42500 ns,,0,0,1,0,--------,,0:0,0:0,11010010:11010010
SUCCESS at 42600 ns,,1,0,0,0,11010011,,0:0,0:0,--------:11010011
SUCCESS at 42700 ns,,0,0,1,0,--------,,0:0,0:0,11010011:11010011
SUCCESS at 42800 ns,,1,0,0,0,11010100,,0:0,0:0,--------:11010100
SUCCESS at 42900 ns,,0,0,1,0,--------,,0:0,0:0,11010100:11010100
SUCCESS at 43000 ns,,1,0,0,0,11010101,,0:0,0:0,--------:11010101
SUCCESS at 43100 ns,,0,0,1,0,--------,,0:0,0:0,11010101:11010101
SUCCESS at 43200 ns,,1,0,0,0,11010110,,0:0,0:0,--------:11010110
SUCCESS at 43300 ns,,0,0,1,0,--------,,0:0,0:0,11010110:11010110
SUCCESS at 43400 ns,,1,0,0,0,11010111,,0:0,0:0,--------:11010111
SUCCESS at 43500 ns,,0,0,1,0,--------,,0:0,0:0,11010111:11010111
SUCCESS at 43600 ns,,1,0,0,0,11011000,,0:0,0:0,--------:11011000
SUCCESS at 43700 ns,,0,0,1,0,--------,,0:0,0:0,11011000:11011000
SUCCESS at 43800 ns,,1,0,0,0,11011001,,0:0,0:0,--------:11011001
SUCCESS at 43900 ns,,0,0,1,0,--------,,0:0,0:0,11011001:11011001
SUCCESS at 44000 ns,,1,0,0,0,11011010,,0:0,0:0,--------:11011010
SUCCESS at 44100 ns,,0,0,1,0,--------,,0:0,0:0,11011010:11011010
SUCCESS at 44200 ns,,1,0,0,0,11011011,,0:0,0:0,--------:11011011
SUCCESS at 44300 ns,,0,0,1,0,--------,,0:0,0:0,11011011:11011011
SUCCESS at 44400 ns,,1,0,0,0,11011100,,0:0,0:0,--------:11011100
SUCCESS at 44500 ns,,0,0,1,0,--------,,0:0,0:0,11011100:11011100
SUCCESS at 44600 ns,,1,0,0,0,11011101,,0:0,0:0,--------:11011101
SUCCESS at 44700 ns,,0,0,1,0,--------,,0:0,0:0,11011101:11011101
SUCCESS at 44800 ns,,1,0,0,0,11011110,,0:0,0:0,--------:11011110
SUCCESS at 44900 ns,,0,0,1,0,--------,,0:0,0:0,11011110:11011110
SUCCESS at 45000 ns,,1,0,0,0,11011111,,0:0,0:0,--------:11011111
SUCCESS at 45100 ns,,0,0,1,0,--------,,0:0,0:0,11011111:11011111
SUCCESS at 45200 ns,,1,0,0,0,11100000,,0:0,0:0,--------:11100000
SUCCESS at 45300 ns,,0,0,1,0,--------,,0:0,0:0,11100000:11100000
SUCCESS at 45400 ns,,1,0,0,0,11100001,,0:0,0:0,--------:11100001
SUCCESS at 45500 ns,,0,0,1,0,--------,,0:0,0:0,11100001:11100001
SUCCESS at 45600 ns,,1,0,0,0,11100010,,0:0,0:0,--------:11100010
SUCCESS at 45700 ns,,0,0,1,0,--------,,0:0,0:0,11100010:11100010
SUCCESS at 45800 ns,,1,0,0,0,11100011,,0:0,0:0,--------:11100011
SUCCESS at 45900 ns,,0,0,1,0,--------,,0:0,0:0,11100011:11100011
SUCCESS at 46000 ns,,1,0,0,0,11100100,,0:0,0:0,--------:11100100
SUCCESS at 46100 ns,,0,0,1,0,--------,,0:0,0:0,11100100:11100100
SUCCESS at 46200 ns,,1,0,0,0,11100101,,0:0,0:0,--------:11100101
SUCCESS at 46300 ns,,0,0,1,0,--------,,0:0,0:0,11100101:11100101
SUCCESS at 46400 ns,,1,0,0,0,11100110,,0:0,0:0,--------:11100110
SUCCESS at 46500 ns,,0,0,1,0,--------,,0:0,0:0,11100110:11100110
SUCCESS at 46600 ns,,1,0,0,0,11100111,,0:0,0:0,--------:11100111
SUCCESS at 46700 ns,,0,0,1,0,--------,,0:0,0:0,11100111:11100111
SUCCESS at 46800 ns,,1,0,0,0,11101000,,0:0,0:0,--------:11101000
SUCCESS at 46900 ns,,0,0,1,0,--------,,0:0,0:0,11101000:11101000
SUCCESS at 47000 ns,,1,0,0,0,11101001,,0:0,0:0,--------:11101001
SUCCESS at 47100 ns,,0,0,1,0,--------,,0:0,0:0,11101001:11101001
SUCCESS at 47200 ns,,1,0,0,0,11101010,,0:0,0:0,--------:11101010
SUCCESS at 47300 ns,,0,0,1,0,--------,,0:0,0:0,11101010:11101010
SUCCESS at 47400 ns,,1,0,0,0,11101011,,0:0,0:0,--------:11101011
SUCCESS at 47500 ns,,0,0,1,0,--------,,0:0,0:0,11101011:11101011
SUCCESS at 47600 ns,,1,0,0,0,11101100,,0:0,0:0,--------:11101100
SUCCESS at 47700 ns,,0,0,1,0,--------,,0:0,0:0,11101100:11101100
SUCCESS at 47800 ns,,1,0,0,0,11101101,,0:0,0:0,--------:11101101
SUCCESS at 47900 ns,,0,0,1,0,--------,,0:0,0:0,11101101:11101101
SUCCESS at 48000 ns,,1,0,0,0,11101110,,0:0,0:0,--------:11101110
SUCCESS at 48100 ns,,0,0,1,0,--------,,0:0,0:0,11101110:11101110
SUCCESS at 48200 ns,,1,0,0,0,11101111,,0:0,0:0,--------:11101111
SUCCESS at 48300 ns,,0,0,1,0,--------,,0:0,0:0,11101111:11101111
SUCCESS at 48400 ns,,1,0,0,0,11110000,,0:0,0:0,--------:11110000
SUCCESS at 48500 ns,,0,0,1,0,--------,,0:0,0:0,11110000:11110000
SUCCESS at 48600 ns,,1,0,0,0,11110001,,0:0,0:0,--------:11110001
SUCCESS at 48700 ns,,0,0,1,0,--------,,0:0,0:0,11110001:11110001
SUCCESS at 48800 ns,,1,0,0,0,11110010,,0:0,0:0,--------:11110010
SUCCESS at 48900 ns,,0,0,1,0,--------,,0:0,0:0,11110010:11110010
SUCCESS at 49000 ns,,1,0,0,0,11110011,,0:0,0:0,--------:11110011
SUCCESS at 49100 ns,,0,0,1,0,--------,,0:0,0:0,11110011:11110011
SUCCESS at 49200 ns,,1,0,0,0,11110100,,0:0,0:0,--------:11110100
SUCCESS at 49300 ns,,0,0,1,0,--------,,0:0,0:0,11110100:11110100
SUCCESS at 49400 ns,,1,0,0,0,11110101,,0:0,0:0,--------:11110101
SUCCESS at 49500 ns,,0,0,1,0,--------,,0:0,0:0,11110101:11110101
SUCCESS at 49600 ns,,1,0,0,0,11110110,,0:0,0:0,--------:11110110
SUCCESS at 49700 ns,,0,0,1,0,--------,,0:0,0:0,11110110:11110110
SUCCESS at 49800 ns,,1,0,0,0,11110111,,0:0,0:0,--------:11110111
SUCCESS at 49900 ns,,0,0,1,0,--------,,0:0,0:0,11110111:11110111
SUCCESS at 50000 ns,,1,0,0,0,11111000,,0:0,0:0,--------:11111000
SUCCESS at 50100 ns,,0,0,1,0,--------,,0:0,0:0,11111000:11111000
SUCCESS at 50200 ns,,1,0,0,0,11111001,,0:0,0:0,--------:11111001
SUCCESS at 50300 ns,,0,0,1,0,--------,,0:0,0:0,11111001:11111001
SUCCESS at 50400 ns,,1,0,0,0,11111010,,0:0,0:0,--------:11111010
SUCCESS at 50500 ns,,0,0,1,0,--------,,0:0,0:0,11111010:11111010
SUCCESS at 50600 ns,,1,0,0,0,11111011,,0:0,0:0,--------:11111011
SUCCESS at 50700 ns,,0,0,1,0,--------,,0:0,0:0,11111011:11111011
SUCCESS at 50800 ns,,1,0,0,0,11111100,,0:0,0:0,--------:11111100
SUCCESS at 50900 ns,,0,0,1,0,--------,,0:0,0:0,11111100:11111100
SUCCESS at 51000 ns,,1,0,0,0,11111101,,0:0,0:0,--------:11111101
SUCCESS at 51100 ns,,0,0,1,0,--------,,0:0,0:0,11111101:11111101
SUCCESS at 51200 ns,,1,0,0,0,11111110,,0:0,0:0,--------:11111110
SUCCESS at 51300 ns,,0,0,1,0,--------,,0:0,0:0,11111110:11111110
SUCCESS at 51400 ns,,1,0,0,0,11111111,,1:1,0:0,--------:11111111
SUCCESS at 51500 ns,,0,0,1,0,--------,,1:1,0:0,11111111:11111111
SUCCESS at 51600 ns,,0,0,0,0,--------,,1:1,0:0,--------:11111111
SUCCESS at 51700 ns,,1,0,0,0,00100000,,1:1,0:0,--------:11111111
SUCCESS at 51800 ns,,0,0,1,0,--------,,1:1,0:0,11111111:11111111
SUCCESS at 51900 ns,,0,1,0,0,--------,,0:0,0:0,11111111:11111111
SUCCESS at 52000 ns,,0,1,0,0,--------,,0:0,0:0,11111110:11111110
SUCCESS at 52100 ns,,0,1,0,0,--------,,0:0,0:0,11111101:11111101
SUCCESS at 52200 ns,,0,1,0,0,--------,,0:0,0:0,11111100:11111100
SUCCESS at 52300 ns,,0,1,0,0,--------,,0:0,0:0,11111011:11111011
SUCCESS at 52400 ns,,0,1,0,0,--------,,0:0,0:0,11111010:11111010
SUCCESS at 52500 ns,,0,1,0,0,--------,,0:0,0:0,11111001:11111001
SUCCESS at 52600 ns,,0,1,0,0,--------,,0:0,0:0,11111000:11111000
SUCCESS at 52700 ns,,0,1,0,0,--------,,0:0,0:0,11110111:11110111
SUCCESS at 52800 ns,,0,1,0,0,--------,,0:0,0:0,11110110:11110110
SUCCESS at 52900 ns,,0,1,0,0,--------,,0:0,0:0,11110101:11110101
SUCCESS at 53000 ns,,0,1,0,0,--------,,0:0,0:0,11110100:11110100
SUCCESS at 53100 ns,,0,1,0,0,--------,,0:0,0:0,11110011:11110011
SUCCESS at 53200 ns,,0,1,0,0,--------,,0:0,0:0,11110010:11110010
SUCCESS at 53300 ns,,0,1,0,0,--------,,0:0,0:0,11110001:11110001
SUCCESS at 53400 ns,,0,1,0,0,--------,,0:0,0:0,11110000:11110000
SUCCESS at 53500 ns,,0,1,0,0,--------,,0:0,0:0,11101111:11101111
SUCCESS at 53600 ns,,0,1,0,0,--------,,0:0,0:0,11101110:11101110
SUCCESS at 53700 ns,,0,1,0,0,--------,,0:0,0:0,11101101:11101101
SUCCESS at 53800 ns,,0,1,0,0,--------,,0:0,0:0,11101100:11101100
SUCCESS at 53900 ns,,0,1,0,0,--------,,0:0,0:0,11101011:11101011
SUCCESS at 54000 ns,,0,1,0,0,--------,,0:0,0:0,11101010:11101010
SUCCESS at 54100 ns,,0,1,0,0,--------,,0:0,0:0,11101001:11101001
SUCCESS at 54200 ns,,0,1,0,0,--------,,0:0,0:0,11101000:11101000
SUCCESS at 54300 ns,,0,1,0,0,--------,,0:0,0:0,11100111:11100111
SUCCESS at 54400 ns,,0,1,0,0,--------,,0:0,0:0,11100110:11100110
SUCCESS at 54500 ns,,0,1,0,0,--------,,0:0,0:0,11100101:11100101
SUCCESS at 54600 ns,,0,1,0,0,--------,,0:0,0:0,11100100:11100100
SUCCESS at 54700 ns,,0,1,0,0,--------,,0:0,0:0,11100011:11100011
SUCCESS at 54800 ns,,0,1,0,0,--------,,0:0,0:0,11100010:11100010
SUCCESS at 54900 ns,,0,1,0,0,--------,,0:0,0:0,11100001:11100001
SUCCESS at 55000 ns,,0,1,0,0,--------,,0:0,0:0,11100000:11100000
SUCCESS at 55100 ns,,0,1,0,0,--------,,0:0,0:0,11011111:11011111
SUCCESS at 55200 ns,,0,1,0,0,--------,,0:0,0:0,11011110:11011110
SUCCESS at 55300 ns,,0,1,0,0,--------,,0:0,0:0,11011101:11011101
SUCCESS at 55400 ns,,0,1,0,0,--------,,0:0,0:0,11011100:11011100
SUCCESS at 55500 ns,,0,1,0,0,--------,,0:0,0:0,11011011:11011011
SUCCESS at 55600 ns,,0,1,0,0,--------,,0:0,0:0,11011010:11011010
SUCCESS at 55700 ns,,0,1,0,0,--------,,0:0,0:0,11011001:11011001
SUCCESS at 55800 ns,,0,1,0,0,--------,,0:0,0:0,11011000:11011000
SUCCESS at 55900 ns,,0,1,0,0,--------,,0:0,0:0,11010111:11010111
SUCCESS at 56000 ns,,0,1,0,0,--------,,0:0,0:0,11010110:11010110
SUCCESS at 56100 ns,,0,1,0,0,--------,,0:0,0:0,11010101:11010101
SUCCESS at 56200 ns,,0,1,0,0,--------,,0:0,0:0,11010100:11010100
SUCCESS at 56300 ns,,0,1,0,0,--------,,0:0,0:0,11010011:11010011
SUCCESS at 56400 ns,,0,1,0,0,--------,,0:0,0:0,11010010:11010010
SUCCESS at 56500 ns,,0,1,0,0,--------,,0:0,0:0,11010001:11010001
SUCCESS at 56600 ns,,0,1,0,0,--------,,0:0,0:0,11010000:11010000
SUCCESS at 56700 ns,,0,1,0,0,--------,,0:0,0:0,11001111:11001111
SUCCESS at 56800 ns,,0,1,0,0,--------,,0:0,0:0,11001110:11001110
SUCCESS at 56900 ns,,0,1,0,0,--------,,0:0,0:0,11001101:11001101
SUCCESS at 57000 ns,,0,1,0,0,--------,,0:0,0:0,11001100:11001100
SUCCESS at 57100 ns,,0,1,0,0,--------,,0:0,0:0,11001011:11001011
SUCCESS at 57200 ns,,0,1,0,0,--------,,0:0,0:0,11001010:11001010
SUCCESS at 57300 ns,,0,1,0,0,--------,,0:0,0:0,11001001:11001001
SUCCESS at 57400 ns,,0,1,0,0,--------,,0:0,0:0,11001000:11001000
SUCCESS at 57500 ns,,0,1,0,0,--------,,0:0,0:0,11000111:11000111
SUCCESS at 57600 ns,,0,1,0,0,--------,,0:0,0:0,11000110:11000110
SUCCESS at 57700 ns,,0,1,0,0,--------,,0:0,0:0,11000101:11000101
SUCCESS at 57800 ns,,0,1,0,0,--------,,0:0,0:0,11000100:11000100
SUCCESS at 57900 ns,,0,1,0,0,--------,,0:0,0:0,11000011:11000011
SUCCESS at 58000 ns,,0,1,0,0,--------,,0:0,0:0,11000010:11000010
SUCCESS at 58100 ns,,0,1,0,0,--------,,0:0,0:0,11000001:11000001
SUCCESS at 58200 ns,,0,1,0,0,--------,,0:0,0:0,11000000:11000000
SUCCESS at 58300 ns,,0,1,0,0,--------,,0:0,0:0,10111111:10111111
SUCCESS at 58400 ns,,0,1,0,0,--------,,0:0,0:0,10111110:10111110
SUCCESS at 58500 ns,,0,1,0,0,--------,,0:0,0:0,10111101:10111101
SUCCESS at 58600 ns,,0,1,0,0,--------,,0:0,0:0,10111100:10111100
SUCCESS at 58700 ns,,0,1,0,0,--------,,0:0,0:0,10111011:10111011
SUCCESS at 58800 ns,,0,1,0,0,--------,,0:0,0:0,10111010:10111010
SUCCESS at 58900 ns,,0,1,0,0,--------,,0:0,0:0,10111001:10111001
SUCCESS at 59000 ns,,0,1,0,0,--------,,0:0,0:0,10111000:10111000
SUCCESS at 59100 ns,,0,1,0,0,--------,,0:0,0:0,10110111:10110111
SUCCESS at 59200 ns,,0,1,0,0,--------,,0:0,0:0,10110110:10110110
SUCCESS at 59300 ns,,0,1,0,0,--------,,0:0,0:0,10110101:10110101
SUCCESS at 59400 ns,,0,1,0,0,--------,,0:0,0:0,10110100:10110100
SUCCESS at 59500 ns,,0,1,0,0,--------,,0:0,0:0,10110011:10110011
SUCCESS at 59600 ns,,0,1,0,0,--------,,0:0,0:0,10110010:10110010
SUCCESS at 59700 ns,,0,1,0,0,--------,,0:0,0:0,10110001:10110001
SUCCESS at 59800 ns,,0,1,0,0,--------,,0:0,0:0,10110000:10110000
SUCCESS at 59900 ns,,0,1,0,0,--------,,0:0,0:0,10101111:10101111
SUCCESS at 60000 ns,,0,1,0,0,--------,,0:0,0:0,10101110:10101110
SUCCESS at 60100 ns,,0,1,0,0,--------,,0:0,0:0,10101101:10101101
SUCCESS at 60200 ns,,0,1,0,0,--------,,0:0,0:0,10101100:10101100
SUCCESS at 60300 ns,,0,1,0,0,--------,,0:0,0:0,10101011:10101011
SUCCESS at 60400 ns,,0,1,0,0,--------,,0:0,0:0,10101010:10101010
SUCCESS at 60500 ns,,0,1,0,0,--------,,0:0,0:0,10101001:10101001
SUCCESS at 60600 ns,,0,1,0,0,--------,,0:0,0:0,10101000:10101000
SUCCESS at 60700 ns,,0,1,0,0,--------,,0:0,0:0,10100111:10100111
SUCCESS at 60800 ns,,0,1,0,0,--------,,0:0,0:0,10100110:10100110
SUCCESS at 60900 ns,,0,1,0,0,--------,,0:0,0:0,10100101:10100101
SUCCESS at 61000 ns,,0,1,0,0,--------,,0:0,0:0,10100100:10100100
SUCCESS at 61100 ns,,0,1,0,0,--------,,0:0,0:0,10100011:10100011
SUCCESS at 61200 ns,,0,1,0,0,--------,,0:0,0:0,10100010:10100010
SUCCESS at 61300 ns,,0,1,0,0,--------,,0:0,0:0,10100001:10100001
SUCCESS at 61400 ns,,0,1,0,0,--------,,0:0,0:0,10100000:10100000
SUCCESS at 61500 ns,,0,1,0,0,--------,,0:0,0:0,10011111:10011111
SUCCESS at 61600 ns,,0,1,0,0,--------,,0:0,0:0,10011110:10011110
SUCCESS at 61700 ns,,0,1,0,0,--------,,0:0,0:0,10011101:10011101
SUCCESS at 61800 ns,,0,1,0,0,--------,,0:0,0:0,10011100:10011100
SUCCESS at 61900 ns,,0,0,0,1,--------,,0:0,1:1,--------:10011011
SUCCESS at 62000 ns,,0,0,0,0,--------,,0:0,1:1,--------:00000000
SUCCESS at 62100 ns,,1,0,0,0,00001111,,0:0,0:0,--------:00001111
SUCCESS at 62200 ns,,0,0,1,0,--------,,0:0,0:0,00001111:00001111
SUCCESS at 62300 ns,,0,1,0,0,--------,,0:0,1:1,00001111:00001111
SUCCESS at 62400 ns,,0,0,0,0,--------,,0:0,1:1,--------:00001111
SUCCESS at 62500 ns,,1,1,0,0,00001111,,0:0,0:0,--------:00001111
SUCCESS at 62600 ns,,1,0,0,1,00001111,,0:0,1:1,--------:00001111
SUCCESS at 62700 ns,,1,1,1,1,00001111,,0:0,1:1,--------:00001111
SUCCESS at 62800 ns,,1,0,0,0,01000000,,0:0,0:0,--------:01000000
SUCCESS at 62900 ns,,0,0,1,0,--------,,0:0,0:0,01000000:01000000
SUCCESS at 63000 ns,,0,1,0,0,--------,,0:0,1:1,01000000:01000000
SUCCESS at 63100 ns,,0,0,0,0,--------,,0:0,1:1,--------:01000000
